,0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,-0.007788906466654794
2018-02-02,-0.0089711384085219
2018-02-05,-0.02227780034027135
2018-02-06,0.011936464342488387
2018-02-07,-0.0026848709845290458
2018-02-08,-0.021622819690253446
2018-02-09,0.010018677226407653
2018-02-12,0.0076334260899320276
2018-02-13,0.001033613479133587
2018-02-14,0.00960802828641372
2018-02-15,0.005770805756138238
2018-02-16,-0.0007360446387968866
2018-02-19,-0.000855225900861301
2018-02-20,-0.000855225900861301
2018-02-21,-0.004109554788352241
2018-02-22,0.002244882619943787
2018-02-23,0.008248312097244035
2018-02-26,0.007386066711859715
2018-02-27,-0.0052590906827211705
2018-02-28,-0.007641058165209234
2018-03-01,-0.0075572322947780515
2018-03-02,0.005767597670005482
2018-03-05,0.004716511856539266
2018-03-06,0.0022603339280638625
2018-03-07,0.0010660741921709592
2018-03-08,0.0019304324940389818
2018-03-09,0.008600570518595205
2018-03-12,0.002596923656429747
2018-03-13,-0.005245844501417938
2018-03-14,-0.0024768524011961235
2018-03-15,-0.0018437479777939723
2018-03-16,0.0009348741401286084
2018-03-19,-0.008250861061570811
2018-03-20,0.0015829236772723163
2018-03-21,0.002807790141293895
2018-03-22,-0.016277183541920984
2018-03-23,-0.010301348340546282
2018-03-26,0.010637317531209285
2018-03-27,-0.010678538750067116
2018-03-28,-0.005123297863948809
2018-03-29,0.006654489726252325
2018-03-30,0.016609641540508046
2018-04-02,-0.03230305276231316
2018-04-03,0.014691338834234348
2018-04-04,0.014698976045341068
2018-04-05,0.01465681709180539
2018-04-06,-0.023681331854362445
2018-04-09,-0.0020255137443141768
2018-04-10,0.027462152346518377
2018-04-11,-0.004586864820238505
2018-04-12,0.008871308324031569
2018-04-13,-0.00139149185008236
2018-04-16,0.0014803494101777175
2018-04-17,0.01927698590982557
2018-04-18,0.006668164296318683
2018-04-19,-0.007650208408050693
2018-04-20,-0.00831670740260163
2018-04-23,-0.00475293017533361
2018-04-24,-0.01728482665205094
2018-04-25,-0.0043716261652387515
2018-04-26,0.022065846461653993
2018-04-27,0.006603996212510209
2018-04-30,-0.00780315598284428
2018-05-01,0.012260894720834118
2018-05-02,-0.011714386968997214
2018-05-03,-0.0020659353251305233
2018-05-04,0.02005890268394817
2018-05-07,0.011306202415320835
