,0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,-0.00455370183844023
2018-02-02,-0.00534108222333633
2018-02-05,-0.0454464762167752
2018-02-06,0.0227740817350668
2018-02-07,-0.00167227334922771
2018-02-08,-0.0437406320852626
2018-02-09,0.0199470823449237
2018-02-12,0.015923618568483
2018-02-13,0.0005712883129509
2018-02-14,0.0175697976454988
2018-02-15,0.0113041515156848
2018-02-16,-0.0008029211846728
2018-02-20,-0.00030802882769964
2018-02-21,-0.00279725451898587
2018-02-22,0.0028977508014936
2018-02-23,0.0166918411135659
2018-02-26,0.0146041294359542
2018-02-27,-0.0032200980374778297
2018-02-28,-0.00464980679983209
2018-03-01,-0.00412562557787133
2018-03-02,0.0105852468064437
2018-03-05,0.0069463247089311
2018-03-06,0.0007616097972157
2018-03-07,0.0005644365898161
2018-03-08,0.0017160286576369
2018-03-09,0.0183510459601025
2018-03-12,0.00030106602581343
2018-03-13,-0.00323555695088739
2018-03-14,-0.00168026655152478
2018-03-15,-0.00056553744087621
2018-03-16,-0.0005122958144068199
2018-03-19,-0.005624580156700349
2018-03-20,0.0034159146725424
2018-03-21,0.00110322804316413
2018-03-22,-0.00959877563976285
2018-03-23,-0.00686520794154786
2018-03-26,0.0273406322217081
2018-03-27,-0.00765824820057222
2018-03-28,-0.0036423455434220695
2018-03-29,0.0157815149145577
2018-04-02,-0.009406661731941211
2018-04-03,0.0145689293346163
2018-04-04,0.015363083121944
2018-04-05,0.0109925462048376
2018-04-06,-0.00716225668519482
2018-04-09,-0.0027188454283618
2018-04-10,0.0278803522026469
2018-04-11,-0.00167507462468157
2018-04-12,0.0076875102916898
2018-04-13,-0.00033134037616091997
2018-04-16,-0.0027788487794149
2018-04-17,0.0154390856025059
2018-04-18,0.005566331857498
2018-04-19,-0.00300101301197634
2018-04-20,-0.0024293100837777296
2018-04-23,-0.00177308163452496
2018-04-24,-0.00452864149897506
2018-04-25,-0.0044052572373254
2018-04-26,0.0212837773480362
2018-04-27,0.0055769862627486
2018-04-30,-0.0021623235528905097
2018-05-01,0.0110192017268516
2018-05-02,-0.00234206515104234
2018-05-03,0.00020394262667163
2018-05-04,0.0180946430597361
2018-05-07,0.0107205563249824
2018-05-08,0.0012624597683513698
2018-05-09,0.014543901339247
2018-05-10,0.0118138905618723
2018-05-11,-0.0020160814249834
2018-05-14,0.0026400913387516
2018-05-15,-0.00234078526529676
2018-05-16,0.0083454681593611
2018-05-17,-0.00173180166183213
2018-05-18,-0.0017693414829947698
2018-05-21,0.0109091508879459
2018-05-22,-0.00040838928327999
2018-05-23,0.0025164594645686
2018-05-24,0.0010779977950656598
2018-05-25,-0.00081115125507903
2018-05-29,-0.0026852748348557697
2018-05-30,0.0135670919807047
2018-05-31,-0.00443056720777221
2018-06-01,0.0167354172751696
2018-06-04,0.0019528124932889
2018-06-05,0.0004025690315926
2018-06-06,0.0157036443173414
2018-06-07,-0.0013879424955638398
2018-06-08,0.0039230418265568
2018-06-11,0.0034881100013958
2018-06-12,0.0018188608067336
2018-06-13,-0.00091040338439127
2018-06-14,-4.54151306012768e-05
2018-06-15,-0.0013362213247484999
2018-06-18,-0.00011439375913911
2018-06-19,-0.00252443690454684
2018-06-20,0.0065255021597891
2018-06-21,-0.00397261132456941
2018-06-22,-0.0007566841416374
2018-06-25,-0.005002859743484849
2018-06-26,0.0061778423259059
2018-06-27,-0.00246394069293615
2018-06-28,0.0086649163384095
2018-06-29,0.0083441087245873
2018-07-02,0.0017569476655541
2018-07-03,-0.00224706766197846
2018-07-05,0.0083053233197003
2018-07-06,0.0139751125737615
2018-07-09,0.0139711375857222
2018-07-10,0.0036564251686458
2018-07-11,-0.00397219855646517
2018-07-12,0.0135797763811952
2018-07-13,-0.0021801645678211
2018-07-16,-0.00032792343206484
2018-07-17,0.0052885579978653
2018-07-18,0.0040214582147747
2018-07-19,-0.0018685413774866097
2018-07-20,-0.00192806031602565
2018-07-23,-0.0051826045827731
2018-07-24,0.0029509285843269
2018-07-25,0.0071354437062271
2018-07-26,0.00396305901777336
2018-07-27,-0.00210355170606534
2018-07-30,-0.0016522314307325398
2018-07-31,0.0111659082732196
2018-08-01,-0.00222192415609467
2018-08-02,0.0145410379432484
2018-08-03,0.0018883125984491
2018-08-06,0.0064976936590593
2018-08-07,0.0112359774202077
2018-08-08,-0.0010563495764019
2018-08-09,-0.00230571902003811
2018-08-10,-0.0021144686655884697
2018-08-13,-0.00048587923397868
2018-08-14,0.0007244536831681
2018-08-15,-0.00404507117093151
2018-08-16,0.0038104847344841
2018-08-17,-0.0075189847667482
2018-08-20,0.0056610750881556
2018-08-21,0.0130291894684783
2018-08-22,0.00048449429921372994
2018-08-23,-0.00018816988987956
2018-08-24,0.0145630081405314
2018-08-27,0.0130738837128631
2018-08-28,0.001037174500634
2018-08-29,0.0030943049482354
2018-08-30,-0.0016752108868784998
2018-08-31,0.0020798121447385
2018-09-04,-0.00043241693981877
2018-09-05,-0.00201229105954875
2018-09-06,-0.0040063630201118096
2018-09-07,-0.00015927748652868001
2018-09-10,0.0160675959291322
2018-09-11,-0.0043738073673814
