w_ml9,w_qv,min_sharpe,mean_sharpe,window_sharpes,overall_sharpe,overall_return,overall_volatility,overall_mdd,overall_win_rate
0.0,1.0,-0.2749216172066102,0.9440960047744754,"[np.float64(-0.2749216172066102), np.float64(2.053788068056511), np.float64(1.0534215634735256)]",0.7844182301739978,0.10051779948929665,0.12814312011463583,-0.16069942055658215,0.5324503311258278
0.1,0.9,-0.24874989411024903,1.0094986734789135,"[np.float64(-0.24874989411024903), np.float64(2.1333652364576623), np.float64(1.1438806780893278)]",0.8373295740463501,0.1063842386737311,0.12705181086538603,-0.16262056132374786,0.5377483443708609
0.2,0.8,-0.2213867434362345,1.0657966688901361,"[np.float64(-0.2213867434362345), np.float64(2.1982177337839426), np.float64(1.2205590163227005)]",0.8848019066634101,0.11225067785816556,0.12686532094111677,-0.16458197261088867,0.5337748344370861
0.30000000000000004,0.7,-0.1932086126025949,1.111086895284784,"[np.float64(-0.1932086126025949), np.float64(2.2463548644950087), np.float64(1.2801144339619384)]",0.9257725700445032,0.11811711704260001,0.12758761802255814,-0.16658338866807906,0.5390728476821192
0.4,0.6,-0.1646170156854845,1.1445222602615772,"[np.float64(-0.1646170156854845), np.float64(2.2769056241509724), np.float64(1.3212781723192444)]",0.9595993380565866,0.12398355622703448,0.1292034616010993,-0.1686245384284794,0.5470198675496689
0.5,0.5,-0.13601120483390364,1.1663557905149675,"[np.float64(-0.13601120483390364), np.float64(2.2901904621601696), np.float64(1.3448881142186364)]",0.9861029252494796,0.1298499954114689,0.13167996168211088,-0.17103848330253452,0.5417218543046357
0.6000000000000001,0.3999999999999999,-0.1077630749274077,1.177717607255896,"[np.float64(-0.1077630749274077), np.float64(2.287580125246821), np.float64(1.3533357714482748)]",1.0055322279632974,0.13571643459590335,0.13496975116431284,-0.17351775336117545,0.5443708609271524
0.7000000000000001,0.29999999999999993,-0.08019758540035715,1.1802572123111676,"[np.float64(-0.08019758540035715), np.float64(2.271199808223419), np.float64(1.349769414110441)]",1.0184711670052535,0.14158287378033776,0.1390151026038889,-0.17603401620478742,0.5496688741721855
0.8,0.19999999999999996,-0.053580469230502026,1.1757962175525525,"[np.float64(-0.053580469230502026), np.float64(2.2435740032580758), np.float64(1.3373951186300839)]",1.0257183460642167,0.1474493129647723,0.14375224303099382,-0.17858692974297277,0.5417218543046357
0.9,0.09999999999999998,-0.028113375869211813,1.1660757945122138,"[np.float64(-0.028113375869211813), np.float64(2.207300869362799), np.float64(1.3190398900430544)]",1.0281694586832024,0.15331575214920673,0.14911525610336776,-0.18117614737727725,0.5403973509933775
1.0,0.0,-0.00393533394494843,1.1526151855014068,"[np.float64(-0.00393533394494843), np.float64(2.1648099603613176), np.float64(1.2969709300878516)]",1.026722177753864,0.15918219133364117,0.1550392061091739,-0.1838013180729951,0.4966887417218543
