return_lower,return_upper,scale_factor,sharpe,annual_return,annual_volatility,max_drawdown,win_rate,window_sharpes,min_sharpe
-0.03,0.0,0.3,5.041723145669567,0.7046820444458337,0.13977007941245223,-0.07717181240625248,0.4966887417218543,"[3.233122983104431, 6.919740205747993, 6.302789871940651]",3.233122983104431
-0.03,0.0,0.4,4.340631556160764,0.6279451686432307,0.144666774988532,-0.0865963680619125,0.4966887417218543,"[2.6471189022653023, 6.0939144522425375, 5.431628325317635]",2.6471189022653023
-0.03,0.0,0.5,3.670113380595513,0.5512082928406277,0.1501883554211038,-0.10071980202490838,0.4966887417218543,"[2.08287192282962, 5.309936880909306, 4.612429975700825]",2.08287192282962
-0.03,0.0,0.6,3.036255713459718,0.4744714170380247,0.1562685958678294,-0.11466503283898283,0.4966887417218543,"[1.54521218759519, 4.574256328874157, 3.8514871950047804]",1.54521218759519
-0.03,0.0,0.7,2.4424127798145507,0.3977345412354218,0.1628449312591712,-0.13084223412823026,0.4966887417218543,"[1.0372425942311732, 3.8897334017129914, 3.1507343522384614]",1.0372425942311732
-0.03,0.01,0.3,2.77594379872681,0.346858369380799,0.12495151001972232,-0.0860333924150139,0.4966887417218543,"[1.5461310904475065, 4.5470951360235805, 3.407930171979616]",1.5461310904475065
-0.03,0.01,0.4,2.457697835678727,0.3212391614446295,0.13070734602975098,-0.09819575693347452,0.4966887417218543,"[1.2276659929448648, 4.13489320410185, 3.0505252530363007]",1.2276659929448648
-0.03,0.01,0.5,2.1473801639348227,0.2956199535084601,0.13766540199699487,-0.11023936504081384,0.4966887417218543,"[0.9224873872511548, 3.7285637601854074, 2.704154961558818]",0.9224873872511548
-0.03,0.01,0.6,1.8537197773734457,0.27000074557229065,0.14565348488370633,-0.12216484137113336,0.4966887417218543,"[0.6354664329508469, 3.345109853602128, 2.3818415731497664]",0.6354664329508469
-0.03,0.01,0.7,1.5816354609055638,0.24438153763612122,0.1545119236870175,-0.1375689467228944,0.4966887417218543,"[0.3693967202488559, 2.9930697097728207, 2.089386300027908]",0.3693967202488559
-0.03,0.02,0.3,0.731626203735033,0.07090707844576337,0.09691708427578846,-0.11650610927196825,0.4966887417218543,"[-0.32627128470449673, 2.3617678197236325, 1.793776713425906]",-0.32627128470449673
-0.03,0.02,0.4,0.7968214155761221,0.08470948350031325,0.10630924551527793,-0.12239329904325402,0.4966887417218543,"[-0.32851133340893224, 2.330784702088137, 1.7253971959314256]",-0.32851133340893224
-0.03,0.02,0.5,0.8399086352997898,0.09851188855486319,0.11728881501462503,-0.13646829818573653,0.4966887417218543,"[-0.3270544387021119, 2.288767097097255, 1.6516056655935045]",-0.3270544387021119
-0.03,0.02,0.6,0.867610005294181,0.11231429360941307,0.12945251083328693,-0.15479838790405417,0.4966887417218543,"[-0.32309383570622063, 2.248888229575125, 1.5834221719250883]",-0.32309383570622063
-0.03,0.02,0.7,0.8850454822773801,0.12611669866396302,0.14249742096806398,-0.17285228656504062,0.4966887417218543,"[-0.31760424680194266, 2.214053619450338, 1.5237154307660221]",-0.31760424680194266
-0.02,0.0,0.3,3.883262835469361,0.6000790262960372,0.15452959321088733,-0.1287410541600866,0.4966887417218543,"[2.108258213317937, 5.7096444637403865, 5.0098884810707025]",2.108258213317937
-0.02,0.0,0.4,3.4144648506208264,0.5382854388005479,0.15764855177896345,-0.13451640475440071,0.4966887417218543,"[1.7337571996346692, 5.1389431053320305, 4.4228236480789525]",1.7337571996346692
-0.02,0.0,0.5,2.9553686797835548,0.4764918513050587,0.16122924174047756,-0.14026935439400123,0.4966887417218543,"[1.366169487031835, 4.582507301264345, 3.8531116327195476]",1.366169487031835
