return_lower,return_upper,scale_factor,sharpe,annual_return,annual_volatility,max_drawdown,win_rate,window_sharpes,min_sharpe
-0.01,0.0,0.4,2.235733783807724,0.38607147640540906,0.17268222147087786,-0.1922128420233794,0.4966887417218543,"[0.6724617641388405, 3.867976319377656, 3.043613551340756]",0.6724617641388405
-0.01,0.0,0.5,2.0071392724463415,0.3496468826424431,0.17420160496201464,-0.1978072386175008,0.4966887417218543,"[0.5061518601219855, 3.5689067413239632, 2.756439653743972]",0.5061518601219855
-0.01,0.0,0.6,1.7802408834518404,0.31322228887947695,0.17594376794231756,-0.20337436085014649,0.4966887417218543,"[0.34116023011731833, 3.2722608834955413, 2.472203061438414]",0.34116023011731833
-0.01,0.0,0.7,1.5558984015518398,0.276797695116511,0.17790216561726355,-0.20891425501725783,0.4966887417218543,"[0.17788770774505916, 2.979560562827753, 2.1923492077166427]",0.17788770774505916
-0.01,0.01,0.3,0.411910258823834,0.06467239510334045,0.1570060315759205,-0.2023348861450448,0.4966887417218543,"[-0.6921006474128619, 1.8782029399204654, 0.7393493823032483]",-0.6921006474128619
-0.01,0.01,0.4,0.49811738763035396,0.07936546920680788,0.15933085489018087,-0.20471220037952334,0.4966887417218543,"[-0.6347798156010371, 1.9520630952602365, 0.8630301181492378]",-0.6347798156010371
-0.01,0.01,0.5,0.5796311712406809,0.09405854331027538,0.16227309361045278,-0.20815240160697399,0.4966887417218543,"[-0.57710488006373, 2.0114196900727985, 0.9767071838792514]",-0.57710488006373
-0.01,0.01,0.6,0.655920959649454,0.10875161741374288,0.16579988154649514,-0.21159396101596972,0.4966887417218543,"[-0.5195354367900069, 2.0573137379467665, 1.0797993262668486]",-0.5195354367900069
-0.01,0.01,0.7,0.7266803590439388,0.12344469151721037,0.16987481494562628,-0.21503674123688726,0.4966887417218543,"[-0.46249486163514064, 2.09120125315613, 1.1722511173552261]",-0.46249486163514064
-0.01,0.02,0.3,-1.5830277438738074,-0.21127889583169523,0.1334650619038914,-0.4845439483933732,0.4966887417218543,"[-2.451666216746384, -0.7919767693092619, -1.0916814714652328]",-2.451666216746384
-0.01,0.02,0.4,-1.1357290702976692,-0.15716420873750825,0.13838177858414444,-0.40721070564591655,0.4966887417218543,"[-2.1069523327014865, -0.1545628915284651, -0.6050807639614509]",-2.1069523327014865
-0.01,0.02,0.5,-0.7141397708121431,-0.10304952164332147,0.14429881355876625,-0.3446296107903589,0.4966887417218543,"[-1.769210864427716, 0.3995031946061233, -0.16143283948249862]",-1.769210864427716
-0.01,0.02,0.6,-0.3238600742511641,-0.048934834549134575,0.15109869489866173,-0.31145892635660466,0.4966887417218543,"[-1.4427352893804115, 0.8722746942462241, 0.23498997389754975]",-1.4427352893804115
-0.01,0.02,0.7,0.032645863944515664,0.005179852545052215,0.15866795725963329,-0.2767381717116052,0.4966887417218543,"[-1.1307084411601989, 1.2721468293826086, 0.5846260146025747]",-1.1307084411601989
